ServerPort,ClientPort,10,15,17,22,24,29,31,32,33,34,36,37,38,45,46,47,48,59,60,61,62,63,64,75,76,77,78,79,80,81,82,83,84,87,88,89,90,91,92,target
80,16945,60,373,40,359,14,20,5,5,4,5,1,0,0,1,1,319,140,1,1,1,1,1,2,0,0,0,0,1380,1380,319,140,319,140,6900,61440,512,8192,0,0,WWW
80,16913,60,373,40,359,14,20,5,5,4,5,1,0,0,1,1,319,141,1,1,1,1,1,2,0,0,0,0,1380,1380,319,141,319,141,6900,61440,512,8192,0,0,WWW
80,16917,60,376,40,362,14,20,5,5,4,5,1,0,0,1,1,322,141,1,1,1,1,1,2,0,0,0,0,1380,1380,322,141,322,141,6900,61440,512,8192,0,0,WWW
80,17018,60,373,40,359,14,20,5,5,4,5,1,0,0,1,1,319,142,1,1,1,1,1,2,0,0,0,0,1380,1380,319,142,319,142,6900,61440,512,8192,0,0,WWW
80,16926,60,379,40,365,14,20,5,5,4,5,1,0,0,1,1,325,141,1,1,1,1,1,2,0,0,0,0,1380,1380,325,141,325,141,6900,61440,512,8192,0,0,WWW
80,16927,60,379,40,365,14,20,5,5,4,5,1,0,0,1,1,325,141,1,1,1,1,1,2,0,0,0,0,1380,1380,325,141,325,141,6900,61440,512,8192,0,0,WWW
80,16956,60,372,40,358,14,20,5,5,4,5,1,0,0,1,1,318,140,1,1,1,1,1,2,0,0,0,0,1380,1380,318,140,318,140,6900,61440,512,8192,0,0,WWW
80,16957,60,370,40,356,14,20,5,5,4,5,1,0,0,1,1,316,140,1,1,1,1,1,2,0,0,0,0,1380,1380,316,140,316,140,6900,61440,512,8192,0,0,WWW
80,16925,60,377,40,363,14,20,5,5,4,5,1,0,0,1,1,323,141,1,1,1,1,1,2,0,0,0,0,1380,1380,323,141,323,141,6900,61440,512,8192,0,0,WWW
80,16929,60,377,40,363,14,20,5,5,4,5,1,0,0,1,1,323,141,1,1,1,1,1,2,0,0,0,0,1380,1380,323,141,323,141,6900,61440,512,8192,0,0,WWW
80,17090,60,379,40,365,14,20,5,5,4,5,1,0,0,1,1,325,141,1,1,1,1,1,2,0,0,0,0,1380,1380,325,141,325,141,6900,61440,512,8192,0,0,WWW
80,16903,60,381,40,367,14,20,5,5,4,5,1,0,0,1,1,327,142,1,1,1,1,1,2,0,0,0,0,1380,1380,327,142,327,142,6900,61440,512,8192,0,0,WWW
80,17091,60,381,40,367,14,20,5,5,4,5,2,0,0,1,1,327,141,1,1,1,1,1,1,0,0,0,0,1380,1380,327,141,327,141,6900,61440,512,8192,0,0,WWW
80,17030,60,374,40,360,14,20,5,5,4,5,1,0,0,1,1,320,141,1,1,1,1,1,2,0,0,0,0,1380,1380,320,141,320,141,6900,61440,512,8192,0,0,WWW
80,17089,60,375,40,361,14,20,5,5,4,5,1,0,0,1,1,321,141,1,1,1,1,1,2,0,0,0,0,1380,1380,321,141,321,141,6900,61440,512,8192,0,0,WWW
80,16906,60,377,40,363,14,20,5,5,4,5,1,0,0,1,1,323,140,1,1,1,1,1,2,0,0,0,0,1380,1380,323,140,323,140,6900,61440,512,8192,0,0,WWW
